NAME,CUISINE,TWITTER-SCREEN_NAME,TWITTER-USER_ID,
championship Melts,Grilled Cheese,ChampMelt,431770435,
Chez Pascal/Hewtin's Dogs,Sausages,ChezPascal,49388300,
Fancheezical,Grilled Cheese,fancheezical,459852041,
Flour Girls Baking,Baked Goods,FlourGirlsTreat,316628451,
Like No Udder,Vegan Ice Cream,LikeNoUdder,143182589,
Mama Kim's,Korean BBQ,MamaKimsKbbq,222186274,
Mijos Tacos,Mexican,MijosTacos,325662621,
Panino Express,Sandwiches,Paninoexpress,397633088,
Plouf Plouf Gastronomie,French,ploufplouftruck,482343766,
Poco Loco Tacos,Mexican,pocolocotacos,199110002,
Providence Coffee Roasters,Café,ProvCoffeeRoast,88734355,
PVD Pudding Pops,Popsicles,PVDpops,521835692,
Radish,Vegetarian,whereisradish,518082486,
Rocket Street Food,American,rockettruck,185426817,
Sprout,Vegetarian,SproutTruck,1093577521,
Taco Truck,Mexican,,,
